Date,total_daily_volume,traffic_segment_rows,daily_crashes,persons_injured,persons_killed,hyperlocal_temp_daily_avg,injuries_per_crash,fatalities_per_crash
2012-09-28,72452.0,11,703,188.0,2.0,,0.267425320056899,0.002844950213371266
2012-09-29,340468.0,52,485,134.0,1.0,,0.27628865979381445,0.002061855670103093
2012-09-30,1153866.5,173,449,145.0,2.0,,0.32293986636971045,0.004454342984409799
2012-10-01,1162691.0,173,555,162.0,1.0,,0.2918918918918919,0.0018018018018018018
2012-10-02,1160570.0,173,593,191.0,0.0,,0.3220910623946037,0.0
2012-10-03,1183248.0,173,502,120.0,1.0,,0.23904382470119523,0.00199203187250996
2012-10-04,1186259.0,173,554,120.0,0.0,,0.21660649819494585,0.0
2012-10-05,1227916.0,173,693,189.0,0.0,,0.2727272727272727,0.0
2012-10-06,1227334.0,173,500,132.0,0.0,,0.264,0.0
2012-10-07,1127388.0,173,481,186.0,0.0,,0.3866943866943867,0.0
2012-10-08,116793.0,20,376,122.0,0.0,,0.324468085106383,0.0
2012-10-09,104764.0,16,570,142.0,1.0,,0.24912280701754386,0.0017543859649122807
2012-10-10,17761.0,2,640,187.0,0.0,,0.2921875,0.0
2012-10-11,18705.0,2,657,145.0,0.0,,0.2207001522070015,0.0
2012-10-12,475241.0,78,594,150.0,0.0,,0.25252525252525254,0.0
2012-10-13,1142996.0,175,547,143.0,1.0,,0.26142595978062155,0.0018281535648994515
2012-10-14,1074272.0,175,517,173.0,1.0,,0.3346228239845261,0.0019342359767891683
2012-10-15,1139838.0,173,607,141.0,2.0,,0.23228995057660626,0.0032948929159802307
2012-10-16,1144549.0,173,602,172.0,1.0,,0.2857142857142857,0.0016611295681063123
2012-10-17,1150209.0,173,615,163.0,0.0,,0.26504065040650404,0.0
2012-10-18,1187257.0,177,630,141.0,0.0,,0.22380952380952382,0.0
2012-10-19,1789583.0,262,738,201.0,2.0,,0.27235772357723576,0.0027100271002710027
2012-10-20,1847290.0,284,587,188.0,2.0,,0.3202725724020443,0.0034071550255536627
2012-10-21,1716947.0,284,426,139.0,1.0,,0.32629107981220656,0.002347417840375587
2012-10-22,1273102.0,206,609,149.0,2.0,,0.24466338259441708,0.003284072249589491
